x,y,H,map,gp
828763.2,842149.5,NA,2ned,3
828763.9,842148.0,NA,2ned,3
828765.0,842146.8,NA,2ned,3
828772.7,842142.2,NA,2ned,3
828776.9,842140.7,NA,2ned,3
828785.3,842140.0,NA,2ned,3
828788.0,842140.2,NA,2ned,3
828792.6,842139.3,NA,2ned,3
828798.3,842137.8,NA,2ned,3
828801.1,842136.4,NA,2ned,3
828804.6,842133.5,NA,2ned,3
828809.1,842129.2,NA,2ned,3
828812.3,842124.5,NA,2ned,3
828814.0,842122.9,NA,2ned,3
828814.9,842122.5,NA,2ned,3
828817.6,842122.5,NA,2ned,3
828821.0,842124.1,NA,2ned,3
828827.9,842128.5,NA,2ned,3
828830.1,842129.2,NA,2ned,3
828835.8,842129.3,NA,2ned,3
828842.8,842130.1,NA,2ned,3
828844.5,842129.6,NA,2ned,3
828845.3,842129.0,NA,2ned,3
828845.2,842128.6,NA,2ned,3
828844.1,842127.9,NA,2ned,3
828842.1,842127.3,NA,2ned,3
828840.7,842126.2,NA,2ned,3
828839.0,842124.5,NA,2ned,3
828835.5,842120.0,NA,2ned,3
828834.3,842117.5,NA,2ned,3
828834.2,842115.6,NA,2ned,3
828836.3,842108.3,NA,2ned,3
828836.5,842106.0,NA,2ned,3
828836.0,842104.8,NA,2ned,3
828835.5,842104.5,NA,2ned,3
828833.3,842104.7,NA,2ned,3
828831.3,842105.3,NA,2ned,3
828830.3,842105.3,NA,2ned,3
828827.9,842104.5,NA,2ned,3
828824.4,842102.0,NA,2ned,3
828817.5,842100.2,NA,2ned,3
828812.8,842098.5,NA,2ned,3
828809.4,842096.3,NA,2ned,3
828806.5,842095.3,NA,2ned,3
828803.2,842095.1,NA,2ned,3
828800.1,842094.0,NA,2ned,3
828798.2,842092.8,NA,2ned,3
828795.5,842090.1,NA,2ned,3
828794.0,842088.3,NA,2ned,3
828788.6,842085.5,NA,2ned,3
828784.3,842083.0,NA,2ned,3
828782.5,842081.5,NA,2ned,3
828780.2,842077.9,NA,2ned,3
828777.5,842071.9,NA,2ned,3
828776.2,842068.0,NA,2ned,3
828773.7,842062.7,NA,2ned,3
828772.6,842059.7,NA,2ned,3
828772.1,842056.7,NA,2ned,3
828771.7,842052.0,NA,2ned,3
828771.7,842047.9,NA,2ned,3
828772.2,842043.6,NA,2ned,3
828771.7,842036.0,NA,2ned,3
828769.6,842027.9,NA,2ned,3
828769.1,842022.2,NA,2ned,3
828768.5,842020.5,NA,2ned,3
828767.9,842019.9,NA,2ned,3
828757.0,842018.2,NA,2ned,4
828761.6,842019.1,NA,2ned,4
828757.0,842018.2,NA,2ned,4
828754.1,842017.9,NA,2ned,4
828748.7,842016.3,NA,2ned,4
828744.3,842016.0,NA,2ned,4
828742.2,842015.4,NA,2ned,4
828737.1,842012.8,NA,2ned,4
828732.45,842010.05,NA,2ned,4
828727.8,842007.3,NA,2ned,4
828725.3,842006.8,NA,2ned,4
828721.3,842006.9,NA,2ned,4
828717.6,842006.4,NA,2ned,4
828714.5,842005.4,NA,2ned,4
828709.5,842004.4,NA,2ned,4
828704.5,842003.4,NA,2ned,4
828702.1,842001.9,NA,2ned,4
828700.0,842000.0,NA,2ned,4
