x,y,H,map,gp,t
714.275,28.5,20.0,14nwa,21,NCL
714.45,28.1,20.0,14nwa,21,NCL
714.475,27.625,20.0,14nwa,21,NCL
714.125,25.85,20.0,14nwa,21,NCL
714.1,25.35,20.0,14nwa,21,NCL
714.2,23.55,20.0,14nwa,21,NCL
714.525,21.6,20.0,14nwa,21,NCL
715.025,19.675,20.0,14nwa,21,NCL
715.175,19.2,20.0,14nwa,21,NCL
715.4,18.75,20.0,14nwa,21,NCL
715.675,18.35,20.0,14nwa,21,NCL
716.35,17.55,20.0,14nwa,21,NCL
717.125,16.875,20.0,14nwa,21,NCL
717.525,16.6,20.0,14nwa,21,NCL
717.95,16.475,20.0,14nwa,21,NCL
718.475,16.675,20.0,14nwa,21,NCL
718.825,17.025,20.0,14nwa,21,NCL
719.275,17.9,20.0,14nwa,21,NCL
720.05,19.8,20.0,14nwa,21,NCL
164.55,29.1,,14nwa,22,NCL
166.1,28.525,,14nwa,22,NCL
166.475,28.55,,14nwa,22,NCL
166.6,28.875,,14nwa,22,NCL
166.525,29.45,,14nwa,22,NCL
166.525,30.025,,14nwa,22,NCL
167.35,32.05,,14nwa,22,NCL
167.85,33.05,,14nwa,22,NCL
168.375,33.925,,14nwa,22,NCL
168.65,34.3,,14nwa,22,NCL
168.925,34.575,,14nwa,22,NCL
169.2,34.75,,14nwa,22,NCL
169.5,34.625,,14nwa,22,NCL
170.625,33.225,,14nwa,22,NCL
171.025,32.9,,14nwa,22,NCL
171.525,32.75,,14nwa,22,NCL
173.125,32.6,,14nwa,22,NCL
173.55,32.45,,14nwa,22,NCL
173.875,32.125,,14nwa,22,NCL
174.1,31.7,,14nwa,22,NCL
174.25,31.175,,14nwa,22,NCL
174.6,29.525,,14nwa,22,NCL
174.75,29.05,,14nwa,22,NCL
174.95,28.7,,14nwa,22,NCL
175.25,28.575,,14nwa,22,NCL
175.675,28.8,,14nwa,22,NCL
176.175,29.175,,14nwa,22,NCL
176.675,29.5,,14nwa,22,NCL
177.15,29.55,,14nwa,22,NCL
177.575,29.4,,14nwa,22,NCL
178.025,29.15,,14nwa,22,NCL
179.15,28.35,,14nwa,22,NCL
91.751,0.0,,14nwa,23,NCL
87.115,3.54,,14nwa,23,NCL
84.87799999999999,4.663,,14nwa,23,NCL
78.515,6.912999999999999,,14nwa,23,NCL
74.825,8.461,,14nwa,23,NCL
73.212,9.455,,14nwa,23,NCL
72.157,10.347000000000001,,14nwa,23,NCL
71.388,11.498,,14nwa,23,NCL
70.631,13.890999999999998,,14nwa,23,NCL
69.89,17.557000000000002,,14nwa,23,NCL
69.407,18.998,,14nwa,23,NCL
68.858,19.879,,14nwa,23,NCL
68.032,20.525,,14nwa,23,NCL
66.108,20.73,,14nwa,23,NCL
60.541000000000004,20.381,,14nwa,23,NCL
58.063,20.461,,14nwa,23,NCL
57.148999999999994,20.785,,14nwa,23,NCL
54.989,22.151,,14nwa,23,NCL
53.058,22.625,,14nwa,23,NCL
51.053000000000004,22.864,,14nwa,23,NCL
49.052,22.884,,14nwa,23,NCL
46.023999999999994,22.355,,14nwa,23,NCL
44.058,22.160999999999998,,14nwa,23,NCL
43.122,22.296999999999997,,14nwa,23,NCL
42.261,22.741,,14nwa,23,NCL
40.181999999999995,24.276,,14nwa,23,NCL
36.478,25.798000000000002,,14nwa,23,NCL
31.165,27.263,,14nwa,23,NCL
26.717,28.105,,14nwa,23,NCL
23.245,28.199,,14nwa,23,NCL
20.728,27.868000000000002,,14nwa,23,NCL
14.22,26.660999999999998,,14nwa,23,NCL
11.831,26.555,,14nwa,23,NCL
10.911,26.755,,14nwa,23,NCL
10.062999999999999,27.361,,14nwa,23,NCL
9.356,28.215,,14nwa,23,NCL
8.698,29.605999999999998,,14nwa,23,NCL
8.252,31.566,,14nwa,23,NCL
7.797999999999999,35.749,,14nwa,23,NCL
7.202000000000001,38.672,,14nwa,23,NCL
0.0,39.599000000000004,,14nwa,24,NCL
2.114,38.077,,14nwa,24,NCL
2.819,37.393,,14nwa,24,NCL
3.4019999999999997,36.109,,14nwa,24,NCL
3.978,31.101,,14nwa,24,NCL
4.433,28.618000000000002,,14nwa,24,NCL
5.001,27.203000000000003,,14nwa,24,NCL
6.9270000000000005,24.74,,14nwa,24,NCL
8.05,23.592,,14nwa,24,NCL
8.862,23.024,,14nwa,24,NCL
9.732000000000001,22.705,,14nwa,24,NCL
11.12,22.64,,14nwa,24,NCL
14.511,23.125999999999998,,14nwa,24,NCL
20.541,24.62,,14nwa,24,NCL
22.533,24.901999999999997,,14nwa,24,NCL
24.000999999999998,24.914,,14nwa,24,NCL
25.945,24.498,,14nwa,24,NCL
29.729,22.993000000000002,,14nwa,24,NCL
32.45,21.66,,14nwa,24,NCL
37.371,19.032,,14nwa,24,NCL
40.129,17.997,,14nwa,24,NCL
42.038000000000004,17.674,,14nwa,24,NCL
45.023999999999994,17.875999999999998,,14nwa,24,NCL
49.581,18.521,,14nwa,24,NCL
51.558,18.452,,14nwa,24,NCL
54.438,17.625999999999998,,14nwa,24,NCL
57.755,16.332,,14nwa,24,NCL
59.67,15.864,,14nwa,24,NCL
60.655,15.86,,14nwa,24,NCL
63.198,16.542,,14nwa,24,NCL
64.652,16.803,,14nwa,24,NCL
65.545,16.648,,14nwa,24,NCL
66.405,16.113,,14nwa,24,NCL
67.15899999999999,15.322000000000001,,14nwa,24,NCL
67.712,14.427,,14nwa,24,NCL
67.992,13.520999999999999,,14nwa,24,NCL
68.051,12.015999999999998,,14nwa,24,NCL
68.051,9.451,,14nwa,24,NCL
68.36,8.524,,14nwa,24,NCL
69.02600000000001,7.726,,14nwa,24,NCL
70.27600000000001,6.902,,14nwa,24,NCL
75.215,4.436,,14nwa,24,NCL
76.93,3.42,,14nwa,24,NCL
80.695,0.0,,14nwa,24,NCL
7.2,38.675,,14nwa,25,NCL
6.85,39.525,,14nwa,25,NCL
6.625,39.925,,14nwa,25,NCL
6.375,40.3,,14nwa,25,NCL
6.075,40.625,,14nwa,25,NCL
5.725,40.925,,14nwa,25,NCL
4.9,41.45,,14nwa,25,NCL
3.975,41.875,,14nwa,25,NCL
0.925,42.975,,14nwa,25,NCL
0.0,43.4,,14nwa,25,NCL
129.55,43.45,,14nwa,26,NCL
